,0
0,1.3852458000183105
1,1.3846678733825684
2,1.383615255355835
3,1.3841140270233154
4,1.3827340602874756
5,1.3821523189544678
6,1.3810603618621826
7,1.3799660205841064
8,1.3803443908691406
9,1.3780207633972168
10,1.3786935806274414
11,1.3761876821517944
12,1.374866247177124
13,1.3744618892669678
14,1.3733022212982178
15,1.3725298643112183
16,1.3683826923370361
17,1.366499900817871
18,1.3648712635040283
19,1.363919734954834
20,1.3659815788269043
21,1.3590123653411865
22,1.357769250869751
23,1.3615564107894897
24,1.3544291257858276
25,1.348571538925171
26,1.3458235263824463
27,1.3433268070220947
28,1.3445510864257812
29,1.334791898727417
30,1.3360134363174438
31,1.3301184177398682
32,1.3449723720550537
33,1.3235955238342285
34,1.3325235843658447
35,1.3265843391418457
36,1.3331329822540283
37,1.3063244819641113
38,1.3271512985229492
39,1.3088054656982422
40,1.3063989877700806
41,1.2952924966812134
42,1.3048536777496338
43,1.2864394187927246
44,1.2955341339111328
45,1.280785322189331
46,1.2587239742279053
47,1.259026050567627
48,1.2704607248306274
49,1.2639834880828857
50,1.2446730136871338
51,1.2139086723327637
52,1.2486499547958374
53,1.215179443359375
54,1.1768147945404053
55,1.1996344327926636
56,1.1982852220535278
57,1.1774632930755615
58,1.1949827671051025
59,1.153179407119751
60,1.2682431936264038
61,1.1662037372589111
62,1.2333955764770508
63,1.163238286972046
64,1.190054178237915
65,1.1213915348052979
66,1.121845006942749
67,1.0779346227645874
68,1.1540379524230957
69,1.0861451625823975
70,1.1221610307693481
71,1.121962547302246
72,1.1069822311401367
73,1.060142993927002
74,1.0880117416381836
75,1.0137494802474976
76,1.036273717880249
77,1.0332436561584473
78,0.9974648952484131
79,1.0551705360412598
80,1.0215671062469482
81,0.9814553260803223
82,0.9916306734085083
83,1.0701663494110107
84,0.9005194902420044
85,0.9595272541046143
86,1.0796276330947876
87,1.092529058456421
88,0.9417352676391602
89,0.9445548057556152
90,0.9806303381919861
91,0.8886657953262329
92,0.8800435066223145
93,0.8590474128723145
94,0.8131181001663208
95,0.8293194770812988
96,0.8472720384597778
97,0.8797461986541748
98,0.9312499165534973
99,1.0732009410858154
100,0.9778450727462769
101,0.8323445916175842
102,0.8082438707351685
103,0.9840087890625
104,0.8606685996055603
105,0.7973495721817017
106,0.7813235521316528
107,0.8401095867156982
108,0.7815461754798889
109,0.8053696155548096
110,0.9640502333641052
111,0.7303422689437866
112,0.7934228181838989
113,0.8539966344833374
114,0.7509356737136841
115,0.768248975276947
116,0.7576178312301636
117,0.7047926187515259
118,0.8668044209480286
119,0.7693232297897339
120,0.7072654962539673
121,0.817920446395874
122,0.9550110101699829
123,0.6851130723953247
124,0.7520738840103149
125,0.8841423988342285
126,0.822901725769043
127,0.791355311870575
128,0.703478217124939
129,0.7509384751319885
130,0.7802844047546387
131,0.7112855911254883
132,1.052217960357666
133,0.7616704702377319
134,0.870119035243988
135,0.803278923034668
136,0.7390734553337097
137,0.7266391515731812
138,0.8056005239486694
139,0.7582062482833862
140,0.6808905601501465
141,0.9834670424461365
142,0.7368407249450684
143,0.7179461717605591
144,0.7764550447463989
145,0.8019779920578003
146,0.6951866149902344
147,0.7666294574737549
148,0.8097101449966431
149,0.7372176051139832
150,0.6846367120742798
151,0.6438652276992798
152,0.7207117676734924
153,0.7973030805587769
154,1.024876594543457
155,0.7075157165527344
156,0.7100067138671875
157,0.7691612243652344
158,0.6644208431243896
159,0.7582437992095947
160,0.7408554553985596
161,0.7449964284896851
162,0.7626945972442627
163,0.7354549169540405
164,0.7345162630081177
165,0.6891169548034668
166,0.731969952583313
167,0.6756086349487305
168,0.6448104977607727
169,0.6833722591400146
170,0.6639381647109985
171,1.0296785831451416
172,0.6753372550010681
173,0.7298049926757812
174,0.6341255307197571
175,0.6401044726371765
176,1.0864403247833252
177,0.6281124949455261
178,0.7537912726402283
179,0.7685017585754395
180,0.6593444347381592
181,0.6759651899337769
182,0.6991590261459351
183,0.9594458341598511
184,0.8131454586982727
185,0.8182364702224731
186,0.6376024484634399
187,0.7277654409408569
188,0.6236593723297119
189,0.6123671531677246
190,0.8263077139854431
191,0.8194612264633179
192,0.5992423295974731
193,0.6903519630432129
194,0.8098904490470886
195,0.6155251860618591
196,0.7246979475021362
197,0.6862303018569946
198,0.6549145579338074
199,0.6932122707366943
