otu_id,Dark1,Dark2,Dark3,Blue1,Blue2,Blue3,Green1,Green2,Green3,Yellow1,Yellow2,Yellow3,Red1,Red2,Red3,UV1,UV2,UV3
OTU5,699,1010,1093,593,563,665,944,1071,1202,897,973,1170,1038,1092,796,1247,4702,1158
OTU2,5598,4256,4579,5066,4532,3364,5257,5928,6619,6708,7293,6497,4782,4494,4455,8382,11703,19854
OTU3,2575,2524,2185,5350,5922,3164,3301,3974,4288,2267,2812,2286,2109,3333,2688,4661,6227,4028
OTU1,30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275
OTU49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,4
OTU48,12,8,9,5,2,1,11,7,7,9,7,7,10,10,5,9,17,1
OTU47,16,23,13,14,17,5,11,11,19,32,30,25,22,21,20,2,1,1
OTU46,8,20,9,8,7,4,14,16,14,21,24,26,14,25,15,7,8,7
OTU45,11,21,9,4,10,7,10,7,8,11,6,7,8,9,13,4,19,10
OTU44,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,16,6,5
OTU43,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,9,17
OTU42,8,6,6,14,4,3,7,7,12,8,6,6,7,1,7,45,45,50
OTU41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,2,3
OTU40,9,8,12,11,17,9,26,13,25,13,9,13,12,11,5,16,31,13
OTU116,0,1,4,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0
OTU117,5,22,15,14,9,4,25,14,23,18,22,4,9,18,11,1,13,3
OTU114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU115,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
OTU112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OTU113,472,366,444,477,376,290,483,472,464,569,561,554,534,409,454,147,141,210
OTU110,13,11,6,8,9,3,3,7,4,3,11,2,0,6,9,0,0,0
OTU111,1,2,4,0,0,1,2,4,0,3,0,4,1,3,2,0,1,0
OTU118,189,156,138,169,170,172,165,161,154,192,171,166,138,128,163,496,212,348
OTU119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OTU58,1,3,1,0,0,0,1,0,4,3,2,5,0,1,0,7,8,9
OTU59,1,0,1,2,3,1,1,1,4,2,2,0,0,2,3,5,13,4
OTU50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
OTU51,1,0,3,3,0,0,5,5,9,5,5,4,2,5,2,13,9,12
OTU52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,9,3
OTU53,13,17,16,16,11,13,16,26,15,16,21,15,22,14,19,95,270,113
OTU54,17,10,7,11,13,2,7,3,8,11,10,6,6,3,12,8,3,0
OTU55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,14
OTU56,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,8,1
OTU57,0,0,1,1,0,0,1,1,1,3,2,1,0,1,1,12,6,12
OTU105,0,1,4,0,0,2,1,1,2,1,2,4,0,1,2,1,0,0
OTU104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU107,4,21,20,12,17,14,31,34,40,24,21,29,14,33,19,6,76,7
OTU106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
OTU100,1,2,0,0,0,0,0,0,0,1,0,3,0,0,2,0,1,0
OTU103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4
OTU109,0,3,2,3,0,0,2,1,2,1,1,0,2,0,0,1,2,0
OTU108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OTU29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,19,33
OTU28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1
OTU25,120,113,146,34,50,41,150,121,168,123,143,109,73,113,88,152,167,196
OTU24,42,55,34,43,50,31,44,45,72,41,42,42,55,54,60,79,120,67
OTU27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76,26,34
OTU26,17,13,19,24,9,12,19,31,42,25,24,25,17,19,13,67,78,32
OTU21,10,6,7,15,3,12,6,10,17,7,10,9,5,6,6,85,90,60
OTU20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,27,48
OTU23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,22,43
OTU22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,26,33
