"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","z9_1","z10_3","z10_1","z9_2","z11_2","z11_3","z10_2","z11_1","z1_3","z9_3","z1_1","z1_2","mean"
"z1_1_k97_100401_3",27.4097379459921,1.91638313288727,0.744614280196143,2.57365885110674,0.0100629441071138,0.294530369432858,"MV_vs_Control",1.021322901,0.130034776,0.488485031,0.584130894,3.434502315,2.374567303,0.442907367,1.941423638,0.656097725,0.746454825,0.400210848,0.417968515,1.0531755115
"z1_1_k97_100629_1",45.0579411499674,2.09840227100541,0.579849242691468,3.61887559129219,0.000295885830825185,0.0407910092675189,"MV_vs_Control",1.136944362,0.651400621,0.582627024,1.036350154,5.018099491,4.758095238,0.493047824,1.283216921,0.49798155,0.346232977,0.668276605,0.610687489,1.42358002133333
"z1_1_k97_100823_1",126.589952786646,-1.03369349020035,0.481134310883573,-2.14845099760613,0.0316779452058536,0.496771142685112,"MV_vs_Control",1.219093521,1.951273281,2.237108158,0.622538345,1.277786463,1.052770591,2.769237776,1.296620363,1.667998315,0.848570995,1.92789431,1.318533625,1.51578547858333
"z1_1_k97_101115_10",114.630975482321,1.36852924742777,0.424269235618198,3.22561508715971,0.00125702286038914,0.0944423657851008,"MV_vs_Control",2.279132932,2.038331096,1.321767876,2.146034397,7.03548755,6.513849939,1.34996858,3.539874373,1.75304206,2.329343039,1.633702033,1.706190664,2.80389371158333
"z1_1_k97_101187_1",21.1695064056476,-1.97960933144236,0.731788421384944,-2.70516623875499,0.00682702149038,0.240426334023501,"MV_vs_Control",2.47327822,3.263484706,1.65918263,0.385787941,1.237259654,0.418207376,2.925171789,1.923313343,3.624116471,1.095543151,2.378865229,2.208370961,1.96604845591667
"z1_1_k97_101373_6",113.291188649707,1.23691943994453,0.451457205369524,2.73983763074972,0.00614695432588719,0.227643501225579,"MV_vs_Control",1.189303642,0.995059345,0.789393908,1.117479732,3.84356727,2.607114214,1.154306512,1.641725487,0.972374499,0.469106635,1.364816789,0.660539528,1.40039896341667
"z1_1_k97_101373_9",125.88205946256,1.14450102383902,0.398367069706149,2.8729810038848,0.00406618565038424,0.18164074909798,"MV_vs_Control",1.951361761,1.669565669,1.087972951,2.243266928,4.295150093,4.573195164,1.015474144,3.523859938,1.148711844,1.407176928,1.766345094,1.341613964,2.1686412065
"z1_1_k97_101403_2",74.8266550848721,-1.07246707366825,0.487187924405854,-2.20134165881917,0.0277118457998417,0.468312922492483,"MV_vs_Control",1.745887245,2.286373042,2.167681207,0.38514922,1.738445407,1.159763832,1.644036948,1.754191971,1.433263453,2.236068868,1.055522982,1.316704623,1.5769240665
"z1_1_k97_101403_6",81.5501466461508,-1.36186634268584,0.417070398042681,-3.26531527789338,0.00109342297761453,0.0868807053301076,"MV_vs_Control",2.400389402,1.802089082,2.002060115,0.426062507,0.910949415,1.270132566,1.830643224,1.691412009,1.218139483,1.613217387,1.143322131,0.889187827,1.43313376233333
"z1_1_k97_101590_2",13.5907895441913,-2.13287394276596,0.9584427928977,-2.225353415531,0.0260575222049945,0.457249459905092,"MV_vs_Control",1.531984352,3.705991106,2.093507274,0.657147256,0.468341225,0.712370191,1.993083151,1.698745683,0.894678716,0,1.650869749,1.724120125,1.42756990233333
