Samples,Group
z1_3,Control
z1_1,Control
z1_2,Control
z11_2,MV
z11_3,MV
z11_1,MV
z10_3,NHQ
z10_1,NHQ
z10_2,NHQ
z9_1,NR
z9_2,NR
z9_3,NR
