sourcettargettweighttcorrelationtbetweenness_centrality
HSP90A, htpG (g_22023)tdnaK, HSPA9 (g_03874)t1t1t1
fxsA (g_55969)tgcl (g_17714)t0.828571428571429t0.828571428571429t3.98809523809524
fxsA (g_55969)tnosZ (g_11709)t0.942857142857143t-0.942857142857143t4.17857142857143
fxsA (g_55969)tlon (g_09747)t1t1t1
fxsA (g_55969)tlon (g_49435)t0.885714285714286t0.885714285714286t3.32142857142857
fxsA (g_55969)tpilA (g_20098)t0.828571428571429t0.828571428571429t3.98809523809524
fxsA (g_55969)tpilA (g_31469)t0.942857142857143t0.942857142857143t1.73333333333333
fxsA (g_55969)tpilA (g_52123)t0.942857142857143t0.942857142857143t6.7
fxsA (g_55969)tABC.SN.S (g_17014)t0.942857142857143t-0.942857142857143t4.17857142857143
fxsA (g_55969)tyccA (g_41543)t0.942857142857143t0.942857142857143t3.11904761904762
gcl (g_17714)tlon (g_09747)t0.828571428571429t0.828571428571429t3.98809523809524
gcl (g_17714)tlon (g_49435)t0.885714285714286t0.885714285714286t3.66666666666667
gcl (g_17714)trlmI (g_06016)t0.942857142857143t-0.942857142857143t6.21428571428571
gcl (g_17714)tpilA (g_20098)t1t1t1
gcl (g_17714)tpilA (g_31469)t0.942857142857143t0.942857142857143t2.25
nosZ (g_11709)tlon (g_09747)t0.942857142857143t-0.942857142857143t4.17857142857143
nosZ (g_11709)trlmI (g_06016)t0.828571428571429t0.828571428571429t6.28571428571429
nosZ (g_11709)tpilA (g_52123)t1t-1t7.02142857142857
nosZ (g_11709)tABC.SN.S (g_17014)t1t1t1
lon (g_09747)tlon (g_49435)t0.885714285714286t0.885714285714286t3.32142857142857
lon (g_09747)tpilA (g_20098)t0.828571428571429t0.828571428571429t3.98809523809524
lon (g_09747)tpilA (g_31469)t0.942857142857143t0.942857142857143t1.73333333333333
lon (g_09747)tpilA (g_52123)t0.942857142857143t0.942857142857143t6.7
lon (g_09747)tABC.SN.S (g_17014)t0.942857142857143t-0.942857142857143t4.17857142857143
lon (g_09747)tyccA (g_41543)t0.942857142857143t0.942857142857143t3.11904761904762
lon (g_13500)tlon (g_49435)t0.828571428571429t0.828571428571429t7.79761904761905
lon (g_13500)tTC.FEV.OM (g_05533)t1t-1t6.29166666666667
lon (g_49435)tpilA (g_20098)t0.885714285714286t0.885714285714286t3.66666666666667
lon (g_49435)tpilA (g_31469)t0.942857142857143t0.942857142857143t11.0666666666667
dctS (g_26479)tpilA (g_22211)t0.885714285714286t0.885714285714286t1
dctS (g_26479)tpilA (g_52123)t0.885714285714286t0.885714285714286t22
rlmI (g_06016)tpilA (g_20098)t0.942857142857143t-0.942857142857143t6.21428571428571
rlmI (g_06016)tABC.SN.S (g_17014)t0.828571428571429t0.828571428571429t6.28571428571429
pilA (g_20098)tpilA (g_31469)t0.942857142857143t0.942857142857143t2.25
pilA (g_22211)tpilA (g_52123)t0.828571428571429t0.828571428571429t22
pilA (g_31469)tpilA (g_52123)t0.828571428571429t0.828571428571429t30.5
pilA (g_31469)tyccA (g_41543)t0.885714285714286t0.885714285714286t1
pilA (g_52123)tABC.SN.S (g_17014)t1t-1t7.02142857142857
pilA (g_52123)tyccA (g_41543)t0.885714285714286t0.885714285714286t3.64285714285714
TC.FEV.OM (g_05533)tABC.SN.S (g_30450)t0.885714285714286t0.885714285714286t6.875
