sourcettargettweighttcorrelationtbetweenness_centrality
urtA (g_08424)tlivG (g_45014)t0.885714285714286t-0.885714285714286t21
rbsA (g_37285)tlivF (g_45827)t0.828571428571429t0.828571428571429t57
rbsA (g_37285)tlivG (g_51175)t0.828571428571429t0.828571428571429t14.4
rbsA (g_37285)tlivK (g_51665)t0.828571428571429t0.828571428571429t14.4
rbsA (g_37285)trpoH (g_03149)t0.828571428571429t0.828571428571429t14.4
rbsA (g_37285)tcspA (g_43147)t0.828571428571429t0.828571428571429t14.4
rbsA (g_37285)trpoE (g_51509)t0.828571428571429t0.828571428571429t14.4
aotJ (g_41760)tmlaC (g_44293)t0.828571428571429t0.828571428571429t2.96666666666667
aotJ (g_41760)tafuA, fbpA (g_48211)t0.828571428571429t0.828571428571429t2.96666666666667
aotJ (g_41760)tTARS, thrS (g_53054)t0.828571428571429t0.828571428571429t2.96666666666667
aotJ (g_41760)tcheV (g_56858)t0.942857142857143t0.942857142857143t3.46666666666667
aotJ (g_41760)trecA (g_55424)t0.828571428571429t0.828571428571429t2.96666666666667
aotJ (g_41760)tbfr (g_45324)t0.942857142857143t0.942857142857143t1
aotJ (g_41760)tribA, RIB1 (g_44444)t0.885714285714286t0.885714285714286t1.25
aotJ (g_41760)tfliC, hag (g_50908)t0.885714285714286t0.885714285714286t1.25
aotJ (g_41760)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
aotJ (g_41760)trpoS (g_53444)t0.885714285714286t0.885714285714286t1.25
aotJ (g_41760)trpoD (g_54509)t0.885714285714286t0.885714285714286t1.25
mlaC (g_44293)tafuA, fbpA (g_48211)t1t1t1
mlaC (g_44293)tlivG (g_51175)t0.942857142857143t0.942857142857143t2.32666666666667
mlaC (g_44293)tlivK (g_51665)t0.942857142857143t0.942857142857143t2.32666666666667
mlaC (g_44293)tTARS, thrS (g_53054)t1t1t1
mlaC (g_44293)tgarD (g_40627)t1t-1t1
mlaC (g_44293)trecA (g_55424)t1t1t1
mlaC (g_44293)tbfr (g_45324)t0.942857142857143t0.942857142857143t1
mlaC (g_44293)tribA, RIB1 (g_44444)t0.885714285714286t0.885714285714286t1
mlaC (g_44293)tfliC, hag (g_50908)t0.885714285714286t0.885714285714286t1
mlaC (g_44293)trpoH (g_03149)t0.942857142857143t0.942857142857143t2.32666666666667
mlaC (g_44293)tcspA (g_43147)t0.942857142857143t0.942857142857143t2.32666666666667
mlaC (g_44293)trpoE (g_51509)t0.942857142857143t0.942857142857143t2.32666666666667
mlaC (g_44293)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
mlaC (g_44293)trpoS (g_53444)t0.885714285714286t0.885714285714286t1
mlaC (g_44293)trpoD (g_54509)t0.885714285714286t0.885714285714286t1
livG (g_45014)tlivF (g_45827)t0.885714285714286t0.885714285714286t40
afuA, fbpA (g_48211)tlivG (g_51175)t0.942857142857143t0.942857142857143t2.32666666666667
afuA, fbpA (g_48211)tlivK (g_51665)t0.942857142857143t0.942857142857143t2.32666666666667
afuA, fbpA (g_48211)tTARS, thrS (g_53054)t1t1t1
afuA, fbpA (g_48211)tgarD (g_40627)t1t-1t1
afuA, fbpA (g_48211)trecA (g_55424)t1t1t1
afuA, fbpA (g_48211)tbfr (g_45324)t0.942857142857143t0.942857142857143t1
afuA, fbpA (g_48211)tribA, RIB1 (g_44444)t0.885714285714286t0.885714285714286t1
afuA, fbpA (g_48211)tfliC, hag (g_50908)t0.885714285714286t0.885714285714286t1
afuA, fbpA (g_48211)trpoH (g_03149)t0.942857142857143t0.942857142857143t2.32666666666667
afuA, fbpA (g_48211)tcspA (g_43147)t0.942857142857143t0.942857142857143t2.32666666666667
afuA, fbpA (g_48211)trpoE (g_51509)t0.942857142857143t0.942857142857143t2.32666666666667
afuA, fbpA (g_48211)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
afuA, fbpA (g_48211)trpoS (g_53444)t0.885714285714286t0.885714285714286t1
afuA, fbpA (g_48211)trpoD (g_54509)t0.885714285714286t0.885714285714286t1
livG (g_51175)tlivK (g_51665)t1t1t1
livG (g_51175)tTARS, thrS (g_53054)t0.942857142857143t0.942857142857143t2.32666666666667
livG (g_51175)tgarD (g_40627)t0.942857142857143t-0.942857142857143t2
