"id","tSNE1","tSNE2","D2A","D3A","D1A","B2A","B1A","B3A","degs","Cluster","ko_name","ko","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"G2A_k97_1640_1",-9.93463215147342,-16.3316948146821,0.656567741696536,0.668392225750084,0.680200245070594,0.789187514426101,0.79649211931136,0.343062538542355,"Blue_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_20020_17",-11.3743548020501,-16.6342470752064,0.737794361843235,0.700550689106854,0.750788866369778,0.666748230551899,0.593274374259654,0.464363964818097,"Blue_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_20020_39",-10.83453662727,-15.6908289018127,0.739782637613149,0.687591044925033,0.671117338926497,0.821866185451919,0.657670558351826,0.448289023376031,"Blue_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_56466_3",-12.4275084886382,-17.3891943041903,0.847403407084361,0.808213844729202,0.83532440202314,0.7593996079885,0.694236842198042,0.594399294595893,"Blue_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_6788_1",-13.5237168404992,-18.1779598902542,0.995898032626072,1.0210564597154,0.918495187934758,0.887822205231946,0.842924555071095,0.758090447753244,"Blue_vs_Dark","Cluster 2","psj:PSJM300_08065","K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]","5.1.3.14","Isomerases","-","-","Cellular Processes;Environmental Information Processing;Metabolism;Metabolism;Metabolism","Cellular community - prokaryotes;Signal transduction;Carbohydrate metabolism;Glycan biosynthesis and metabolism;Global and overview maps","ko05111;ko02020;ko00520;ko00541;ko01100","Biofilm formation - Vibrio cholerae;Two-component system;Amino sugar and nucleotide sugar metabolism;O-Antigen nucleotide sugar biosynthesis;Metabolic pathways"
"Y3A_k97_15275_1",-12.2197998678592,-16.0339413022696,0.776593969229501,0.722860431842646,0.717037515066621,0.610106770490598,0.686727181797988,0.550335587430485,"Blue_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
