"level3_pathway_name","Dark1mean","Dark2mean","Dark3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_Dark","Blue"
"-",1.32677527383333,1.23452538138889,1.49565764427778,0.994095321666667,1.08507039261111,0.847719825222222,0.0220676184755701,0.721448268240944,0.975628513166667
"Biosynthesis of cofactors;Phenylalanine metabolism;Tyrosine metabolism;Metabolic pathways;Ubiquinone and other terpenoid-quinone biosynthesis",1.217169161,1.448983999,1.619040039,0.721317802,1.166548925,1.005100858,0.0572658182336312,0.67510785410448,0.964322528333333
"Ribosome",1.213571617,0.514697019,1.18765462,0.853215914,0.464599572,0.455513689,0.239243436501123,0.608153582694976,0.591109725
