"tSNE1","tSNE2","Nitritation_3","Nitritation_2","Nitritation_1","Anammox1_3","Anammox1_2","Anammox1_1","id","degs"
-52.0264557900403,34.1028704903548,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,"Aerobic_2_k97_100119_3","Anammox1_vs_Nitritation"
-14.6757514684511,-21.1929960843871,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,"Aerobic_2_k97_10013_1","Anammox1_vs_Nitritation"
-13.7407397964835,39.5819681832864,-0.711002148994013,-0.677672454990057,-0.623674119886606,-0.641775666214382,-0.498326823989491,-0.711002148994013,"Aerobic_2_k97_1001555_1","Anammox1_vs_Nitritation"
-14.8298715864178,37.2282789251325,-0.703547596033948,-0.703547596033948,-0.703547596033948,-0.667413603873569,-0.574036322568352,-0.652397574039616,"Aerobic_2_k97_100250_1","Anammox1_vs_Nitritation"
-24.4926763905688,-24.7916923717634,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,"Aerobic_2_k97_1002857_2","Anammox1_vs_Nitritation"
-20.7756333906647,-48.7616179626246,-0.761248868153567,-0.751801914576787,-0.752998128966974,1.37749717271511,1.4791800639571,1.79410133801253,"Aerobic_2_k97_1003161_2","Anammox1_vs_Nitritation"
-14.2197603257293,63.2377900216948,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,"Aerobic_2_k97_1003183_6","Anammox1_vs_Nitritation"
15.2029534010894,11.9661871230101,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,"Aerobic_2_k97_1003205_1","Anammox1_vs_Nitritation"
-23.5924982222733,17.0173124250872,-0.693003697821956,-0.693003697821956,-0.693003697821956,-0.678235948471777,-0.68695449860922,-0.648406978635512,"Aerobic_2_k97_1003295_2","Anammox1_vs_Nitritation"
-25.5562931997855,-45.9350183556829,-0.695309297788963,-0.695309297788963,-0.695309297788963,1.57560302439182,1.88778317825199,1.63625329389117,"Aerobic_2_k97_1004070_1","Anammox1_vs_Nitritation"
-23.2227615932048,24.8495634350385,-0.696868250207862,-0.696868250207862,-0.696868250207862,-0.683166988440085,-0.661791111860945,-0.63221815200897,"Aerobic_2_k97_1004121_2","Anammox1_vs_Nitritation"
-24.6440744969201,24.2613569329946,-0.701823363044646,-0.701823363044646,-0.701823363044646,-0.67211327313145,-0.671398575688303,-0.635233794661047,"Aerobic_2_k97_1004121_3","Anammox1_vs_Nitritation"
-16.413687961878,23.7660722383425,-0.693118159491326,-0.693118159491326,-0.693118159491326,-0.693118159491326,-0.649651085739414,-0.658783823705793,"Aerobic_2_k97_1004133_1","Anammox1_vs_Nitritation"
3.58744653806401,30.1767595859529,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,"Aerobic_2_k97_1004161_1","Anammox1_vs_Nitritation"
-23.7906821013522,17.5705665028548,-0.694201181158371,-0.694201181158371,-0.694201181158371,-0.676472043160905,-0.685123368641113,-0.66073884653368,"Aerobic_2_k97_1004235_2","Anammox1_vs_Nitritation"
-17.8675263106682,-44.9626678875265,-0.702965695209569,-0.710005615431617,-0.705660913653147,1.5114533401302,1.61250625459157,1.59848674606257,"Aerobic_2_k97_1004337_4","Anammox1_vs_Nitritation"
6.90908294971799,-0.469923685802699,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,"Aerobic_2_k97_1004702_6","Anammox1_vs_Nitritation"
-20.9450825107258,3.42904072244648,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.663500253469647,"Aerobic_2_k97_1005108_2","Anammox1_vs_Nitritation"
-45.322444582039,-13.6871540948561,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,"Aerobic_2_k97_1005862_1","Anammox1_vs_Nitritation"
-15.7489729983512,52.7053746241836,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,"Aerobic_2_k97_1005862_2","Anammox1_vs_Nitritation"
2.63478717767703,52.4991639722713,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,"Aerobic_2_k97_1006149_2","Anammox1_vs_Nitritation"
6.62454711251558,11.7422519289176,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,"Aerobic_2_k97_1006545_4","Anammox1_vs_Nitritation"
15.9050793894453,26.6524821494299,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,"Aerobic_2_k97_1006622_1","Anammox1_vs_Nitritation"
-10.8249429967617,-22.051337726595,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,"Aerobic_2_k97_1006783_2","Anammox1_vs_Nitritation"
-13.7766671074276,62.8998335727517,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,"Aerobic_2_k97_1006872_12","Anammox1_vs_Nitritation"
-13.1173370067765,-13.2040765317707,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,"Aerobic_2_k97_1006909_3","Anammox1_vs_Nitritation"
