"tSNE1","tSNE2","Nitritation_3","Nitritation_2","Nitritation_1","Anammox2_3","Anammox2_2","Anammox2_1","id","degs","Cluster"
-23.2272629619375,9.9694414267826,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,"Aerobic_2_k97_100119_3","Anammox2_vs_Nitritation","Cluster 1"
-32.9573729859002,-14.0951205136276,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,"Aerobic_2_k97_10013_1","Anammox2_vs_Nitritation","Cluster 4"
13.6100930082595,9.28639149942994,-0.711002148994013,-0.677672454990057,-0.623674119886606,-0.711002148994013,-0.675918112927308,-0.649993486871458,"Aerobic_2_k97_1001555_1","Anammox2_vs_Nitritation","Cluster 1"
19.8630707508841,-23.3431556213286,-0.703547596033948,-0.703547596033948,-0.703547596033948,-0.703547596033948,-0.630296652909842,-0.655780764027985,"Aerobic_2_k97_100250_1","Anammox2_vs_Nitritation","Cluster 1"
19.3456195091522,53.7424199939217,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,"Aerobic_2_k97_1002857_2","Anammox2_vs_Nitritation","Cluster 1"
59.7510482021494,-6.98619069511106,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,"Aerobic_2_k97_1003183_6","Anammox2_vs_Nitritation","Cluster 1"
-40.0046678077595,-1.41455965628677,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,"Aerobic_2_k97_1003205_1","Anammox2_vs_Nitritation","Cluster 1"
-1.01532659956168,-21.5243837823013,-0.693003697821956,-0.693003697821956,-0.693003697821956,-0.6876103033762,-0.672047638124858,-0.679989016223336,"Aerobic_2_k97_1003295_2","Anammox2_vs_Nitritation","Cluster 1"
9.34521254507326,-23.61687402549,-0.696868250207862,-0.696868250207862,-0.696868250207862,-0.66559388865969,-0.655205388356428,-0.684793454392715,"Aerobic_2_k97_1004121_2","Anammox2_vs_Nitritation","Cluster 1"
15.2092738112863,-0.948321600296386,-0.701823363044646,-0.701823363044646,-0.701823363044646,-0.684869375490435,-0.683001991834704,-0.675640134142787,"Aerobic_2_k97_1004121_3","Anammox2_vs_Nitritation","Cluster 1"
7.44801939454749,-4.51289131142952,-0.693118159491326,-0.693118159491326,-0.693118159491326,-0.670972600353897,-0.693118159491326,-0.682430367173991,"Aerobic_2_k97_1004133_1","Anammox2_vs_Nitritation","Cluster 1"
-15.7268802243904,-55.3951668071683,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,"Aerobic_2_k97_1004161_1","Anammox2_vs_Nitritation","Cluster 4"
5.79166668008762,-10.5588628926336,-0.694201181158371,-0.694201181158371,-0.694201181158371,-0.653732829988253,-0.685216039986917,-0.686388918086219,"Aerobic_2_k97_1004235_2","Anammox2_vs_Nitritation","Cluster 1"
-32.5546055990116,30.7883628904534,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,"Aerobic_2_k97_1004702_6","Anammox2_vs_Nitritation","Cluster 1"
-20.0492610588852,52.2775110300642,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,"Aerobic_2_k97_1005108_2","Anammox2_vs_Nitritation","Cluster 4"
1.1089268253562,24.4488792215824,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,"Aerobic_2_k97_1005862_1","Anammox2_vs_Nitritation","Cluster 4"
-5.04748659794277,-48.9335812969098,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,"Aerobic_2_k97_1005862_2","Anammox2_vs_Nitritation","Cluster 1"
14.3486793233201,-57.1236108684494,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,"Aerobic_2_k97_1006149_2","Anammox2_vs_Nitritation","Cluster 1"
-35.5419484652578,-38.7887202285547,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,"Aerobic_2_k97_1006545_4","Anammox2_vs_Nitritation","Cluster 4"
-10.2305951090472,10.5417656854826,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,"Aerobic_2_k97_1006622_1","Anammox2_vs_Nitritation","Cluster 1"
-34.3299520696677,-18.6963090096623,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,"Aerobic_2_k97_1006783_2","Anammox2_vs_Nitritation","Cluster 1"
59.3061184922737,-6.3248969748893,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,"Aerobic_2_k97_1006872_12","Anammox2_vs_Nitritation","Cluster 4"
-34.8728168675956,15.0589319302869,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,"Aerobic_2_k97_1006909_3","Anammox2_vs_Nitritation","Cluster 4"
16.9992302844412,-55.4077200890419,-0.673147518182241,-0.673147518182241,-0.673147518182241,-0.673147518182241,-0.673147518182241,-0.673147518182241,"Aerobic_2_k97_1006909_4","Anammox2_vs_Nitritation","Cluster 4"
