Samples,Group
W_1,White
W_2,White
W_3,White
B_1,Blue
B_2,Blue
B_3,Blue
R_1,Red
R_2,Red
R_3,Red
Y_1,Yellow
Y_2,Yellow
Y_3,Yellow
