lfcSE_BvsD,stat_BvsD,pvalue_BvsD,padj_BvsD,B_DEGs_label.x,Y_DEGs_label.x,Cluster,gene_id
0.691881644,6.971086331,3.15E-12,3.31E-11,1,0,2,g_37043
0.546135787,-3.141002391,0.001683707,0.003508877,1,0,4,g_37044
0.502040218,-11.89645988,1.23E-32,6.58E-31,1,0,3,g_37045
0.510607371,-4.380937492,1.18E-05,4.07E-05,1,0,4,g_37046
0.725232645,-3.347695492,0.000814865,0.0018306,1,0,4,g_37055
0.441933532,-8.44881584,2.94E-17,5.42E-16,1,0,6,g_37056
0.498382683,-2.563290054,0.010368539,0.017744094,1,0,4,g_37059
0.346946777,-6.123481656,9.16E-10,6.83E-09,1,0,6,g_37061
0.591718707,-7.307677454,2.72E-13,3.28E-12,1,0,6,g_37062
0.665372472,-3.503575576,0.000459056,0.00109613,1,0,4,g_37065
0.86702688,-2.132283393,0.032983556,0.049762971,1,0,4,g_37066
0.688112667,-3.389466757,0.000700287,0.001599145,1,0,4,g_37067
0.603374321,-3.016271164,0.002559043,0.005102645,1,0,4,g_37068
0.803130618,-4.89030808,1.01E-06,4.36E-06,1,0,4,g_37069
0.316687665,-4.091787116,4.28E-05,0.000130341,1,0,4,g_37070
0.550706715,-4.098691765,4.15E-05,0.000126849,1,0,4,g_37071
0.481245341,-3.317862887,0.00090709,0.002016003,1,0,4,g_37073
0.537241864,-4.001875426,6.28E-05,0.000184381,1,0,4,g_37077
0.962602192,-3.774859477,0.000160098,0.000426204,1,0,4,g_37082
0.504696829,-3.069968921,0.00214081,0.004348997,1,0,4,g_37083
0.727871706,4.153950144,3.27E-05,0.000102071,1,0,1,g_37084
1.21996569,2.349041259,0.018821821,0.030197316,1,0,1,g_37085
0.481139127,-5.314801461,1.07E-07,5.61E-07,1,0,4,g_37086
0.332110248,-12.32592871,6.57E-35,4.01E-33,1,0,3,g_37087
1.310231508,2.433259123,0.014963588,0.024619904,1,0,1,g_37088
0.609911892,-3.191975031,0.001413035,0.002998578,1,0,4,g_37089
0.518935138,3.828990635,0.00012867,0.000351091,1,0,1,g_37092
0.304055543,-11.12288761,9.71E-29,4.15E-27,1,0,6,g_37093
0.990013125,5.626550762,1.84E-08,1.10E-07,1,0,2,g_37094
0.740558291,-3.824544668,0.000131014,0.000356764,1,0,4,g_37096
0.472045397,11.58030073,5.19E-31,2.53E-29,1,0,7,g_37101
0.42607064,-8.888930722,6.17E-19,1.32E-17,1,0,6,g_37103
0.742688437,-2.873935277,0.00405392,0.007678352,1,0,4,g_37104
0.557890786,4.713602058,2.43E-06,9.73E-06,1,0,1,g_37108
0.589164028,4.846715054,1.26E-06,5.33E-06,1,0,2,g_37109
0.545141871,-3.376735114,0.000733517,0.001667163,1,0,4,g_37113
0.374666068,-10.53208187,6.15E-26,2.19E-24,1,0,6,g_37114
0.506700239,-2.542410722,0.011009072,0.018723565,1,0,4,g_37121
0.411687062,-3.823769647,0.000131427,0.000357799,1,0,4,g_37122
0.813755987,-2.368191287,0.017875291,0.028885076,1,0,4,g_37123
0.269677331,-14.6169836,2.19E-48,3.27E-46,1,0,3,g_37124
0.925799092,-3.507664399,0.000452059,0.001081153,1,0,4,g_37125
0.628873741,4.479103412,7.50E-06,2.69E-05,1,0,1,g_37126
0.566116968,7.643749943,2.11E-14,2.87E-13,1,0,2,g_37128
0.674544969,-4.078323547,4.54E-05,0.000137357,1,0,4,g_37129
0.638624543,-2.155592422,0.031115505,0.047263744,1,0,4,g_37130
0.71764017,-4.185294009,2.85E-05,9.01E-05,1,0,4,g_37131
0.688920438,2.579046821,0.009907336,0.017031927,1,0,1,g_37132
0.762582898,-3.443866606,0.000573459,0.001336964,1,0,4,g_37134
0.626036703,5.074674168,3.88E-07,1.83E-06,1,0,2,g_37137
0.562632164,-3.93574195,8.29E-05,0.000236435,1,0,4,g_37138
0.40473565,-4.012360416,6.01E-05,0.000177046,1,0,4,g_37139
1.172459569,2.172397404,0.029825701,0.045531384,1,0,1,g_37141
0.55149462,-3.246227226,0.001169455,0.002530624,1,0,4,g_37143
0.387208586,3.499041321,0.000466934,0.001112726,1,0,1,g_37144
0.778819492,-4.923452028,8.50E-07,3.74E-06,1,0,4,g_37145
0.658144287,-3.567301798,0.000360676,0.000884525,1,0,4,g_37146
1.006719447,-5.669108561,1.44E-08,8.77E-08,1,0,6,g_37147
0.419364811,-3.690726248,0.000223615,0.000575395,1,0,4,g_37149
0.585079904,4.009140565,6.09E-05,0.000179239,1,0,1,g_37152
0.537259584,-3.489546714,0.00048384,0.001148255,1,0,4,g_37153
0.72781445,-2.989112975,0.002797887,0.005522426,1,0,4,g_37155
0.417017795,-4.151508239,3.30E-05,0.000103096,1,0,4,g_37157
1.004626142,-4.503075685,6.70E-06,2.43E-05,1,0,4,g_37158
0.315084761,-8.421577198,3.71E-17,6.76E-16,1,0,6,g_37159
0.399740282,-9.224091773,2.86E-20,6.78E-19,1,0,6,g_37160
0.485474171,-5.13209488,2.87E-07,1.38E-06,1,0,4,g_37162
1.031950422,3.151954285,0.001621817,0.003393223,1,0,1,g_37163
0.574217016,-2.703176339,0.00686803,0.01227818,1,0,4,g_37165
0.371139781,2.717581338,0.006576099,0.011809076,1,0,1,g_37166
0.55488085,-3.585521839,0.000336405,0.000830775,1,0,4,g_37167
0.42997171,2.415732979,0.015703573,0.025717127,1,0,1,g_37168
0.505688915,3.29153369,0.000996427,0.00219117,1,0,1,g_37170
1.384391425,-3.503913013,0.000458475,0.001094837,1,0,4,g_37172
0.710431681,2.389949878,0.016850672,0.027406158,1,0,1,g_37175
0.552531759,5.648063829,1.62E-08,9.82E-08,1,0,2,g_37177
0.809876466,-9.673038964,3.93E-22,1.07E-20,1,0,6,g_37179
0.512900997,-3.717280245,0.000201379,0.000523475,1,0,4,g_37181
0.44310309,2.795128409,0.00518791,0.009567133,1,0,1,g_37182
0.572473645,4.430951985,9.38E-06,3.31E-05,1,0,1,g_37183
0.831222102,-4.201544817,2.65E-05,8.44E-05,1,0,4,g_37184
0.421275261,5.739042921,9.52E-09,6.00E-08,1,0,2,g_37185
0.432416527,-12.51339791,6.31E-36,4.09E-34,1,0,3,g_37187
0.623157533,4.679404113,2.88E-06,1.13E-05,1,0,1,g_37188
0.446191521,4.543461138,5.53E-06,2.04E-05,1,0,1,g_37189
0.467908078,-6.454651049,1.08E-10,9.32E-10,1,0,6,g_37191
0.685084261,-3.442448657,0.000576473,0.001343481,1,0,4,g_37194
1.018797039,-2.358134256,0.018367049,0.029574298,1,0,4,g_37195
0.54564291,7.821011761,5.24E-15,7.63E-14,1,0,2,g_37196
0.587062548,-2.793984526,0.005206297,0.00959623,1,0,4,g_37199
0.510572123,9.568631192,1.08E-21,2.88E-20,1,0,2,g_37201
0.694923707,2.565500074,0.01030272,0.017645134,1,0,1,g_37205
0.659689278,7.021919835,2.19E-12,2.35E-11,1,0,2,g_37207
0.472111338,-4.363341268,1.28E-05,4.38E-05,1,0,4,g_37208
0.400439101,3.184575554,0.001449665,0.003067697,1,0,1,g_37210
0.578997581,-4.919990581,8.65E-07,3.80E-06,1,0,4,g_37214
0.463947044,14.22022279,6.86E-46,8.81E-44,1,0,7,g_37217
0.381853402,5.967991267,2.40E-09,1.67E-08,1,0,2,g_37220
0.526087443,-5.758483555,8.49E-09,5.40E-08,1,0,6,g_37221
0.627918995,-4.060920896,4.89E-05,0.000146961,1,0,4,g_37222
0.720082204,4.316902188,1.58E-05,5.30E-05,1,0,1,g_37226
0.472016776,-3.131015977,0.001742027,0.00361472,1,0,4,g_37228
0.445122762,-11.53113861,9.19E-31,4.41E-29,1,0,3,g_37230
0.566634699,-3.879165875,0.000104815,0.000291506,1,0,4,g_37231
1.12312309,-2.869771396,0.004107687,0.00776686,1,0,4,g_37233
0.68095864,-3.688342609,0.00022572,0.000580189,1,0,4,g_37235
0.595700422,4.931776286,8.15E-07,3.60E-06,1,0,2,g_37237
0.508685367,-2.922704415,0.003470058,0.006681868,1,0,4,g_37238
0.342512463,-3.567066681,0.000361,0.000885083,1,0,4,g_37240
0.534623309,3.758714331,0.000170789,0.00045168,1,0,1,g_37245
0.377320044,-3.733895803,0.000188541,0.000493473,1,0,4,g_37247
0.444051825,-8.693222091,3.52E-18,7.04E-17,1,0,6,g_37249
0.515288968,-4.03060803,5.56E-05,0.000165044,1,0,4,g_37254
0.5142884,-2.251534801,0.024351685,0.038037756,1,0,4,g_37257
0.574884818,-2.803783816,0.005050676,0.009337144,1,0,4,g_37258
0.768103536,-2.338421877,0.019365374,0.030983812,1,0,4,g_37260
0.62729178,2.149393798,0.031603197,0.047916275,1,0,1,g_37261
0.583157848,-3.191286313,0.001416408,0.003004927,1,0,4,g_37262
0.826841325,-8.095920035,5.68E-16,9.19E-15,1,0,6,g_37264
0.585860958,-5.459888113,4.76E-08,2.67E-07,1,0,4,g_37265
0.494400733,4.738861548,2.15E-06,8.69E-06,1,0,1,g_37266
0.479730823,-3.871047728,0.000108369,0.000300495,1,0,4,g_37267
0.42604597,-2.709890956,0.006730533,0.012055022,1,0,4,g_37268
0.67656318,5.133860157,2.84E-07,1.37E-06,1,0,2,g_37269
0.296766088,-11.92312421,8.97E-33,4.81E-31,1,0,3,g_37271
0.510270192,-4.599306254,4.24E-06,1.60E-05,1,0,4,g_37273
0.616183735,4.479643328,7.48E-06,2.69E-05,1,0,1,g_37274
0.527041136,-3.80938736,0.000139312,0.000376789,1,0,4,g_37275
0.566551332,-2.39487702,0.016625941,0.027082911,1,0,4,g_37276
0.638518414,-2.807982576,0.004985292,0.009226469,1,0,4,g_37277
0.350070972,-14.45254654,2.42E-47,3.33E-45,1,0,3,g_37278
0.448052473,-9.716639948,2.56E-22,7.10E-21,1,0,6,g_37281
0.650070109,-3.467714236,0.000524905,0.001235299,1,0,4,g_37282
0.428251823,2.401675233,0.01632019,0.026626868,1,0,1,g_37285
0.570761041,-4.182932819,2.88E-05,9.10E-05,1,0,4,g_37288
0.574057033,2.980584609,0.002876988,0.005662556,1,0,1,g_37289
0.463274609,4.200918717,2.66E-05,8.46E-05,1,0,1,g_37291
0.774545937,-4.874578708,1.09E-06,4.69E-06,1,0,4,g_37292
