"otu","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3"
"OTU38",7.89237241187107,-30.5463270764648,0.477121254719662,1.20411998265592,1.07918124604762,0,0,0.301029995663981,0.845098040014257,1.07918124604762,0.954242509439325,1.41497334797082,1.67209785793572,1.54406804435028,1.23044892137827,1.55630250076729,1.49136169383427,0.954242509439325,1.50514997831991,1.14612803567824
"OTU39",-8.82620138624866,-2.06149204378189,0,0,0,0,0,0,0.301029995663981,0,0.301029995663981,0,0.301029995663981,0,0,0,0,1.50514997831991,1.14612803567824,1.14612803567824
"OTU36",-16.6446162240448,-19.5044528499928,1.36172783601759,1.07918124604762,1.44715803134222,1.27875360095283,1.39794000867204,1.17609125905568,1.53147891704226,1.72427586960079,1.69897000433602,1.54406804435028,1.61278385671974,1.47712125471966,1.36172783601759,1.46239799789896,1.14612803567824,1.89762709129044,1.88081359228079,1.72427586960079
"OTU37",6.76996716698735,-21.8164879842848,1.14612803567824,1.23044892137827,1.07918124604762,1,1,0.602059991327962,1,1.17609125905568,1.20411998265592,1.32221929473392,1.23044892137827,1.04139268515823,0.954242509439325,1.17609125905568,1.23044892137827,1.53147891704226,1.51851393987789,1.39794000867204
"OTU34",-8.97748564854034,-3.99252631040213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60205999132796,1.04139268515823,1.39794000867204
"OTU35",-10.7062513783468,-7.42278908080091,0.602059991327962,0.602059991327962,0.477121254719662,0,0.477121254719662,0.477121254719662,0.477121254719662,0.477121254719662,0.477121254719662,0.477121254719662,0.903089986991944,0.602059991327962,0.477121254719662,0.845098040014257,0.477121254719662,1.64345267648619,1.20411998265592,1.568201724067
"OTU32",-15.8694752999754,-8.53496222480467,0,0,0.301029995663981,0.477121254719662,0.301029995663981,0.301029995663981,0.301029995663981,0,0,0,0.301029995663981,0,0,0,0,1.82607480270083,1.55630250076729,1.61278385671974
"OTU33",-8.10459953915327,-3.10744550642413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6232492903979,0.903089986991944,1.23044892137827
"OTU30",-11.8066519998354,-9.1551783998686,0,0.698970004336019,0.301029995663981,0.301029995663981,0,0.903089986991944,0.301029995663981,0.778151250383644,0.698970004336019,0.698970004336019,0.778151250383644,0.698970004336019,0.602059991327962,0.477121254719662,0.602059991327962,1.23044892137827,1.44715803134222,1.79934054945358
"OTU31",-9.76940761083958,-6.08282894932875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67209785793572,1.32221929473392,1.49136169383427
"OTU128",22.0693687814965,5.85628992872551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662
"OTU127",15.6906243116825,10.6121413409205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698970004336019
"OTU126",23.708106731277,15.5789482746641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602059991327962,0,0
"OTU125",27.2638728122433,9.02138745832216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.301029995663981,0
"OTU124",24.5726698882826,9.75095516252481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0
"OTU123",19.3080861522411,10.8922416862028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0.477121254719662
"OTU122",31.2087861347907,12.8399852141793,0,0,0.477121254719662,0,0.301029995663981,0,0,0,0.477121254719662,0,0,0,0.301029995663981,0,0,0.698970004336019,0.477121254719662,0.301029995663981
"OTU121",28.3859826043554,8.46258851134802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.477121254719662,0
"OTU120",24.8934602328985,13.4314601839786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0
"OTU83",29.5267802556638,11.6168518906661,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0.301029995663981,0
"OTU82",-3.65984544040504,14.9166378801906,0,0.301029995663981,0,0,0,0,0.301029995663981,0.301029995663981,0.301029995663981,0,0,0.301029995663981,0,0,0,0.602059991327962,0.778151250383644,0
"OTU81",7.46734292963066,29.7237976006507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698970004336019,0,0
"OTU80",-1.23572080005997,26.656525732722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903089986991944,0,0.301029995663981
"OTU87",25.8311893488556,14.2578722043492,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0.477121254719662,0,0
"OTU86",10.208491503689,-22.2111538848095,0.903089986991944,1.17609125905568,1.07918124604762,0.477121254719662,0.778151250383644,0.477121254719662,0.954242509439325,0.903089986991944,1.11394335230684,1.11394335230684,1.07918124604762,1.23044892137827,1.07918124604762,1,1,0.903089986991944,1.32221929473392,0.903089986991944
"OTU84",21.698030324357,-13.5848119345951,0.698970004336019,0.477121254719662,0.477121254719662,0.477121254719662,0.477121254719662,0.477121254719662,0.778151250383644,0.698970004336019,0.845098040014257,0.602059991327962,0.477121254719662,0.602059991327962,0.954242509439325,0.903089986991944,0.845098040014257,0,0.301029995663981,0.301029995663981
"OTU89",20.0905130622429,-12.0799221046361,0.301029995663981,0.602059991327962,0.477121254719662,0.301029995663981,0.477121254719662,0.602059991327962,0.602059991327962,0.477121254719662,0.602059991327962,0.698970004336019,0.698970004336019,0.698970004336019,0.477121254719662,0.477121254719662,0,0,0,0.778151250383644
"OTU14",-28.3203082785387,-20.4920633533388,0.301029995663981,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0.301029995663981,0,0,2.51054501020661,2.0899051114394,2.29666519026153
"OTU15",-26.8440990960978,-19.7995897417323,1.25527250510331,1.49136169383427,1.04139268515823,1.25527250510331,1.25527250510331,1,1.44715803134222,1.51851393987789,1.66275783168157,1.43136376415899,1.32221929473392,1.51851393987789,1.20411998265592,1.53147891704226,1.23044892137827,2.42975228000241,2.29003461136252,2.17897694729317
"OTU16",-30.6822852768461,-22.2030084913221,0.301029995663981,0,0,0,0,0.301029995663981,0,0,0.301029995663981,0.301029995663981,0,0.301029995663981,0.301029995663981,0.301029995663981,0,2.33243845991561,1.83250891270624,2.04921802267018
