"gene_id","tSNE1","tSNE2","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3"
"g_29578",13.8730183778574,14.9259278069381,0.557675232938653,1.4339575237501,1.46499216769561,0,0.0535908391808832,0
"g_29579",-22.94451736332,-20.1533906855888,0.906259491702636,0.674353279448562,0.632547988507626,1.050764649783,1.14041708935908,1.1757840173446
"g_29580",8.54634477968699,-13.0798488223613,0.574162578525854,0.851033436051379,0.84130652585432,0.0248602800583547,0.0667462233583912,0.149020400577111
"g_29581",0.581353354263703,-22.4313845999047,0.521746323909989,0.795700703569036,0.700078731429508,0.0899993748889531,0.0454528564527601,0.0689168653545995
"g_29582",18.6898982141944,-21.7089134741185,0.901455215389338,0.656736136554097,0.669485636743487,0,0,0.128175924477446
"g_29584",-23.8099702056738,43.8509805779833,1.98658073701915,1.72019327631405,1.67201684059799,0.167101315545567,0.154174037320585,0.256207402721042
"g_29586",-43.9357344566748,19.680367600377,2.23292395056005,2.36989269733345,2.42466178553562,0.552461968505608,0.481111119553374,0.965594834798342
"g_29587",23.8615227977046,7.8900568329396,0.945486163362244,0.95247946396952,1.02150096928518,0,0.0194963914806467,0.0224143481553085
"g_29588",-10.1280808586527,31.4649362147706,0.316982100206183,0.152728532532361,0.265777638146357,0.768762452953144,0.733232183869028,0.0619754286416433
"g_29589",7.85263397945548,-27.0273812595405,0.626069850123615,0.63654927497727,0.633839366430811,0.0780800002303671,0,0
"g_29598",-35.6421450971885,25.619709873199,1.96663398585845,1.92403794257978,1.98226844178377,0.241621180791424,0.292074782051026,0.553694225215943
"g_29606",10.6137019297036,-26.2873493090325,0.719318440296643,0.630958061809991,0.669129358786439,0,0,0.0806647204672655
"g_29608",-20.7024731180656,13.0658010220805,0.407425748618408,0.435898967759839,0.38085153479497,0.659100633698916,0.402879103083249,1.0520348454283
"g_29610",21.7435189045941,-21.6528284589207,0.870874350683881,0.598651006914163,0.666914187083136,0.0526100753715547,0.0129691795818162,0.0339265221323213
"g_29612",-5.86538220748539,-22.3715915418914,0.463899107868492,0.809031776582467,0.671640314152349,0.123980930453391,0.225536709752337,0.155024326930051
"g_29615",-4.57101400854241,-18.3611354496241,0.504744673932603,0.758962884958365,0.750696959594603,0.243767051225077,0.179705720128002,0.221756843179942
"g_29620",-20.8125322145656,-22.4474189589236,0.997602953332073,0.763322252448333,0.751325226072232,1.1160954858348,1.1714844388764,0.960223877785264
"g_29623",18.8551605133054,-18.9977456204749,0.857365127610169,0.632967415030836,0.699597540557428,0.0613544501726679,0,0
