"otu","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3"
"OTU117",42.1223584197973,1.57753638717883,5,22,15,14,9,4,25,14,23,18,22,4,9,18,11
"OTU115",-2.90195411316138,7.18836298465943,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU113",-26.8549700659381,-40.6748504977402,472,366,444,477,376,290,483,472,464,569,561,554,534,409,454
"OTU110",25.3286213650345,-3.72347449717567,13,11,6,8,9,3,3,7,4,3,11,2,0,6,9
"OTU111",12.452152860613,27.7737153631252,1,2,4,0,0,1,2,4,0,3,0,4,1,3,2
"OTU118",-23.1025074358026,-42.166931749195,189,156,138,169,170,172,165,161,154,192,171,166,138,128,163
"OTU58",15.9552739929111,27.7762854871321,1,3,1,0,0,0,1,0,4,3,2,5,0,1,0
"OTU59",-4.20195772023844,20.4791842260073,1,0,1,2,3,1,1,1,4,2,2,0,0,2,3
"OTU51",24.1143427480537,25.6878760345178,1,0,3,3,0,0,5,5,9,5,5,4,2,5,2
"OTU52",-10.8591042052546,14.0256298170769,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU53",44.1301338197119,4.9130788460559,13,17,16,16,11,13,16,26,15,16,21,15,22,14,19
"OTU54",26.2226920412474,-4.05150872744163,17,10,7,11,13,2,7,3,8,11,10,6,6,3,12
"OTU56",-20.7197748855408,6.8452239123835,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU57",-6.2241321499957,19.8878924105155,0,0,1,1,0,0,1,1,1,3,2,1,0,1,1
"OTU105",13.6914532489449,27.7392641039384,0,1,4,0,0,2,1,1,2,1,2,4,0,1,2
"OTU107",14.0351251214982,-32.9482227549757,4,21,20,12,17,14,31,34,40,24,21,29,14,33,19
"OTU100",-20.5274175832984,20.1677033004134,1,2,0,0,0,0,0,0,0,1,0,3,0,0,2
"OTU109",-32.8499113123355,15.7319963939559,0,3,2,3,0,0,2,1,2,1,1,0,2,0,0
"OTU25",-18.7442523023816,-43.547090667909,120,113,146,34,50,41,150,121,168,123,143,109,73,113,88
"OTU24",5.02048541682085,-33.6165406717663,42,55,34,43,50,31,44,45,72,41,42,42,55,54,60
"OTU27",-10.3111467680732,11.5199393986109,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU26",13.6969029325258,-29.2270952556924,17,13,19,24,9,12,19,31,42,25,24,25,17,19,13
"OTU21",31.6107369094413,-5.90643054731461,10,6,7,15,3,12,6,10,17,7,10,9,5,6,6
"OTU20",-25.7816898344246,11.940791468434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
