gene_id,tSNE1,tSNE2,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_27126,-6.628060535,-8.94201771,0.52938492,0.697237366,0.8239825,0,0.024902932,0.091718296,0.027663899,0.032813706,0
g_27131,-5.331411135,-2.594855759,0.580217446,0.920620549,0.747710506,0.017656772,0.036139639,0.060751841,0.007594596,0.032604257,0.043280521
g_27132,-5.879259049,-0.250782356,0.580911525,1.016985314,0.801746893,0.062836094,0.144790211,0.091956625,0.091261661,0.036281081,0.070176449
g_27134,-0.347435919,-13.70650336,0.441092517,0.786937873,0.5977135,0.0224692,0.160325043,0,0.05448857,0,0
g_27138,-2.067169122,14.22954723,0.950998258,0.875038969,0.987114557,0.319076272,0.205481801,0.231223063,0.270922113,0.363459856,0.240146466
g_27139,-16.41785986,9.205862288,0.915151852,0.961055136,1.105122826,0.135200097,0.053104577,0.058943529,0.027637003,0,0
g_27142,-27.67459763,-4.250031273,1.194490753,0.644957955,0.626163944,0,0.088690568,0.023821815,0.024278323,0.024999703,0.060558844
g_27145,-11.7473664,11.3956214,0.687969809,1.153376783,1.231509093,0.049866266,0.075999997,0.052563903,0.029894889,0.040817456,0.068681862
g_27149,-33.86932555,14.82450568,1.351845336,1.003570384,0.978999105,0.172002443,0.108784821,0.319537015,0.197334049,0.210236095,0.090103853
g_27151,6.102071015,-13.59222683,0.209038638,0.740698151,0.805853859,0.034940331,0.080673737,0.027219504,0.113824072,0.213894248,0.08816445
g_27152,11.72039165,2.275205969,0.571242967,0.62794245,0.530897468,0.240608398,0.30430587,0.238422245,0.282614863,0.333478712,0.402691852
g_27154,0.010932969,8.948432986,0.637609194,0.964938833,0.943403196,0.194409433,0.224555851,0.416252464,0.237635966,0.281211823,0.17588101
g_27156,22.50998617,-25.47106476,0.914668254,0.558437352,0.60150276,1.058787887,0.966866657,1.184330277,0.846004397,0.89315138,1.277640702
g_27160,-46.31869903,16.83409361,1.367310942,1.197543923,1.219787822,0.147552973,0.065191925,0.09916111,1.14511554,1.304400234,0.39513131
g_27162,5.210855921,-12.4650166,0.295146015,0.634641787,0.703209844,0.076398292,0.22913793,0.090224536,0.032744438,0.133780577,0.071423548
g_27164,-7.289607738,-17.44353228,0.592923634,0.656502876,0.569972612,0.068102336,0.067823056,0.052833555,0.098523629,0.14183498,0.045052928
g_27168,-42.37068849,23.90666844,1.562592733,1.937150542,2.045870064,0.458203337,0.088122616,0.154583418,1.374166276,1.608582809,0.508574021
g_27169,22.81319026,36.38491642,1.272731717,1.696352832,1.731547848,0.073200186,0.087856632,0.123986806,0.037797681,0.02925144,0
g_27171,2.162075984,26.35300394,0.942663517,1.409571021,1.31870966,0.441154169,0.429767617,0.306664092,0.38584641,0.477744743,0.286712614
g_27172,3.417637864,-40.52723439,0.502939367,0.622436503,0.660705291,2.141070869,1.98452969,2.132844114,2.113601926,2.046643115,2.202205438
g_27173,7.812528878,-40.26937026,0.917713679,0.884036243,0.80734747,2.019998454,2.033571282,2.046822748,1.900644328,1.918699725,2.01277865
g_27174,-2.742210121,-13.16314636,0.457704662,0.642935459,0.650396705,0,0,0,0.076203745,0,0.09537337
g_27177,-43.74583598,13.9425922,1.725038632,1.344557117,1.358787798,0.14031788,0.054375928,0.12312416,0.746430235,0.864334836,0.227156785
g_27178,-36.80363206,-20.31983562,0.758631705,0.548285839,0.61012303,0.009161837,0.007092429,0.038613407,0.337047934,0.322463672,0.062351051
g_27179,2.501777638,-18.85398747,0.284890955,0.654880087,0.797887855,0,0,0,0,0,0
g_27182,0.944965324,-5.548621058,0.409247682,0.845204925,0.717914372,0.151117843,0.06141327,0.052808944,0.164072259,0.096039858,0.043708789
g_27183,-2.246369816,-9.219142543,0.492114332,0.886618795,0.625770894,0,0.026709316,0.074534862,0.025341509,0,0
g_27184,-39.1480184,27.24300685,2.418930474,2.062655323,2.115226679,0.623231815,0.434148137,0.485366182,1.498438989,1.669005221,0.680444028
g_27185,6.135406191,6.58990326,0.676844261,0.825441373,0.814287426,0.416501711,0.38358775,0.282968821,0.220196246,0.130677529,0.253063819
g_27188,46.87433218,3.644169,0.32269531,0.229940755,0.337221982,0.535736799,0.687032226,0.60468301,0.541290867,0.358598543,0.298539791
g_27192,-15.10181206,15.90976901,1.061485691,1.164044695,1.328574095,0,0,0,0,0,0
g_27193,-31.95872493,2.566862963,1.440418902,0.695630502,0.726202398,0.014278543,0.05007336,0.042934061,0,0,0
g_27196,8.16167153,22.55542157,0.723267464,1.209791642,1.132523069,0.439288473,0.433238438,0.381548076,0.501655768,0.613401281,0.505806217
g_27197,-29.58487196,12.44937185,1.435012504,0.896816348,0.91872371,0,0.022123474,0.098403846,0.092402349,0,0
g_27199,7.719973757,-10.48362192,0.43157523,0.596551905,0.60870378,0,0.149363238,0.070142085,0.151809133,0.165750757,0.080380052
g_27200,-27.49849354,-22.76990066,0.711417623,0.510961813,0.604707831,0,0.027993436,0,0.221143143,0.231228929,0
g_27201,-13.00108854,-33.40128008,0.97275702,0.344151085,0.294742367,0.137230643,0.05279856,0.010265602,0.030668524,0.036354581,0.050419974
g_27203,22.3337542,34.63968222,1.310347204,1.561483883,1.628579886,0.15771479,0,0.051343956,0,0.060940222,0.022745418
g_27204,-4.507419623,48.03016176,1.956704626,2.11380465,2.168700809,0.720918531,0.703492311,0.699285188,0.564553157,0.470465326,0.427954233
g_27208,-15.45411872,-11.57499981,0.765230538,0.720839909,0.584802133,0.173320034,0.102200029,0.144938302,0.062126018,0.092289644,0.034151393
g_27209,-26.4041464,29.36945138,1.849693737,1.605793111,1.474871118,0,0.031863528,0.118231648,0,0.016243793,0.020851245
g_27210,-40.30737102,-0.918599408,1.234580626,0.953915652,0.947965432,0.070285436,0.015850365,0.021606435,0.400126121,0.441357936,0.067442843
g_27211,-27.51654795,-7.318499865,1.229437601,0.577413436,0.641799511,0.013163877,0.116752485,0.145674271,0.275941488,0.089613365,0.033171953
g_27212,27.68573888,-24.29807201,0.963661628,0.621373955,0.515055195,0.922146376,0.907418133,1.1366194,1.050189793,0.889862281,1.071445101
g_27213,-36.4760864,-9.428584756,1.008769641,0.686188876,0.738626943,0.130904089,0.045573702,0.039212988,0.271933565,0.292301271,0
g_27215,3.107596976,-12.69843202,0.418412171,0.738711526,0.727773063,0.049390155,0.104511693,0.021006443,0.032744841,0.120492329,0.028887506
g_27216,-41.21894409,5.071514636,1.372492504,1.119321985,1.098157702,0.034082338,0.07945585,0,0.557454025,0.542716902,0.101419512
g_27217,2.962191412,-9.458981435,0.526978744,0.660658997,0.610904385,0.176281149,0.056899899,0.071219756,0.100034699,0.084575563,0.108522066
g_27218,6.715543961,-1.730829618,0.509413433,0.717091724,0.686326791,0.184168828,0.158949599,0.397439413,0.11975392,0.166428338,0.101134369
g_27221,19.23906874,-31.5926209,1.289328075,0.952429363,0.888951155,1.375087586,0.821115603,1.606593021,1.219410328,1.267356487,1.340576168
g_27227,-37.0108037,-15.95837368,0.951540628,0.648637383,0.686886676,0.077468926,0,0,0.318622964,0.272932011,0
g_27229,7.807470456,-26.80766149,0.357246669,0.535447426,0.414305525,1.516841559,1.618377774,1.530280669,1.572326371,1.579174174,1.634927896
g_27230,-18.92164352,-43.55309056,1.302004262,0.155919058,0.423528811,0.156902137,0.287330242,0.012974659,0.537468497,0.369299739,0.166013086
g_27233,-31.8242175,-11.33083221,0.870940004,0.631146054,0.83440716,0.036940135,0,0,0.221031159,0.102323231,0.114423483
g_27238,-6.724789536,1.613814362,0.666682588,0.92376077,0.943918612,0.176172609,0.125395049,0.073669971,0.065179965,0.076242735,0.031851824
g_27240,7.895192267,-11.70284208,0.379802632,0.612200982,0.622003147,0.042681022,0.016594229,0.202345799,0.107110206,0.094084879,0.106549544
