"tSNE1","tSNE2","Nitritation_3","Nitritation_2","Nitritation_1","Anammox2_3","Anammox2_2","Anammox2_1","id","degs"
29.3567934463885,1.57127872478831,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,-0.676758413971514,"Aerobic_2_k97_100119_3","Anammox2_vs_Nitritation"
-21.5954764349277,12.9599557147017,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,-0.683125296195637,"Aerobic_2_k97_10013_1","Anammox2_vs_Nitritation"
20.272077917894,-12.8368294487269,-0.711002148994013,-0.677672454990057,-0.623674119886606,-0.711002148994013,-0.675918112927308,-0.649993486871458,"Aerobic_2_k97_1001555_1","Anammox2_vs_Nitritation"
7.17359503258737,-11.4804642751546,-0.703547596033948,-0.703547596033948,-0.703547596033948,-0.703547596033948,-0.630296652909842,-0.655780764027985,"Aerobic_2_k97_100250_1","Anammox2_vs_Nitritation"
-5.22495641611135,30.0544385045412,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,-0.681640906391986,"Aerobic_2_k97_1002857_2","Anammox2_vs_Nitritation"
-23.5160404336998,-16.4989205588793,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,-0.684933692866552,"Aerobic_2_k97_1003183_6","Anammox2_vs_Nitritation"
-32.2247867023214,-0.938970451775348,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,-0.684138508091697,"Aerobic_2_k97_1003205_1","Anammox2_vs_Nitritation"
2.70021990606232,-6.87156311007373,-0.693003697821956,-0.693003697821956,-0.693003697821956,-0.6876103033762,-0.672047638124858,-0.679989016223336,"Aerobic_2_k97_1003295_2","Anammox2_vs_Nitritation"
5.1208090329035,-3.12827459994248,-0.696868250207862,-0.696868250207862,-0.696868250207862,-0.66559388865969,-0.655205388356428,-0.684793454392715,"Aerobic_2_k97_1004121_2","Anammox2_vs_Nitritation"
-3.19706240515479,-5.79661564802714,-0.701823363044646,-0.701823363044646,-0.701823363044646,-0.684869375490435,-0.683001991834704,-0.675640134142787,"Aerobic_2_k97_1004121_3","Anammox2_vs_Nitritation"
-1.33921417150638,1.37961932932616,-0.693118159491326,-0.693118159491326,-0.693118159491326,-0.670972600353897,-0.693118159491326,-0.682430367173991,"Aerobic_2_k97_1004133_1","Anammox2_vs_Nitritation"
-21.7594938603745,-18.5016304519841,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,-0.685053845658086,"Aerobic_2_k97_1004161_1","Anammox2_vs_Nitritation"
2.40037191137377,1.70906382945999,-0.694201181158371,-0.694201181158371,-0.694201181158371,-0.653732829988253,-0.685216039986917,-0.686388918086219,"Aerobic_2_k97_1004235_2","Anammox2_vs_Nitritation"
11.4945857584327,23.870849437519,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,-0.680111463030172,"Aerobic_2_k97_1004702_6","Anammox2_vs_Nitritation"
6.3248193759452,29.8614205135765,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,-0.68079662688942,"Aerobic_2_k97_1005108_2","Anammox2_vs_Nitritation"
16.3354610469223,15.2958678155307,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,-0.679204927062325,"Aerobic_2_k97_1005862_1","Anammox2_vs_Nitritation"
33.3346666770937,-6.93384562033383,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,-0.674884114304941,"Aerobic_2_k97_1005862_2","Anammox2_vs_Nitritation"
31.4189672789401,-12.5223993086813,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,-0.673311409393101,"Aerobic_2_k97_1006149_2","Anammox2_vs_Nitritation"
-15.5450248838142,-23.4941596429884,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,-0.685446226205164,"Aerobic_2_k97_1006545_4","Anammox2_vs_Nitritation"
-30.2906443698434,-5.87792955716117,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,-0.684375683147078,"Aerobic_2_k97_1006622_1","Anammox2_vs_Nitritation"
-22.7487375331468,12.8333990187802,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,-0.683183457717726,"Aerobic_2_k97_1006783_2","Anammox2_vs_Nitritation"
-23.7256167236957,-16.224938231671,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,-0.684920123631714,"Aerobic_2_k97_1006872_12","Anammox2_vs_Nitritation"
-4.76138887790994,-22.0331381466535,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,-0.686146207359328,"Aerobic_2_k97_1006909_3","Anammox2_vs_Nitritation"
31.0232722979415,-12.9573423721176,-0.673147518182241,-0.673147518182241,-0.673147518182241,-0.673147518182241,-0.673147518182241,-0.673147518182241,"Aerobic_2_k97_1006909_4","Anammox2_vs_Nitritation"
-17.3105690074862,-22.4771322057828,-0.68534601072527,-0.68534601072527,-0.68534601072527,-0.68534601072527,-0.68534601072527,-0.68534601072527,"Aerobic_2_k97_1007525_1","Anammox2_vs_Nitritation"
1.35123473339984,31.6161678082406,-0.681193614158282,-0.681193614158282,-0.681193614158282,-0.681193614158282,-0.681193614158282,-0.681193614158282,"Aerobic_2_k97_1007655_1","Anammox2_vs_Nitritation"
