Samples,Group
Nitritation_3,Nitritation
Nitritation_2,Nitritation
Nitritation_1,Nitritation
Denitrification_3,Denitrification
Denitrification_2,Denitrification
Denitrification_1,Denitrification
Anammox2_3,Anammox2
Anammox2_2,Anammox2
Anammox2_1,Anammox2
Anammox1_3,Anammox1
Anammox1_2,Anammox1
Anammox1_1,Anammox1
Anoxic_3,Anoxic
Anoxic_2,Anoxic
Anoxic_1,Anoxic
Aerobic_3,Aerobic
Aerobic_2,Aerobic
Aerobic_1,Aerobic
