"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","id"
15.0442405205414,-4.2869619425996,1.30803970327222,-3.27739435727773,0.00104769927985994,0.0264020218524705,"Blue_vs_Dark","OTU38"
2.24191820454193,0,3.14807988155994,0,1,1,"Blue_vs_Dark","OTU39"
31.3837929902945,0.259811089159677,0.425985362835282,0.609906141916287,0.541923983696162,1,"Blue_vs_Dark","OTU36"
13.8255370546914,-0.566045994353711,0.501087972038645,-1.12963396836445,0.258630491532209,1,"Blue_vs_Dark","OTU37"
2.82153634934946,0,5.2676485448388,0,1,1,"Blue_vs_Dark","OTU34"
6.00449205541998,-0.560262871596007,1.13466789300587,-0.493768154584691,0.62146992586097,1,"Blue_vs_Dark","OTU35"
5.65196568055905,2.24453682232832,1.69459281549804,1.32452870199893,0.185327517241809,1,"Blue_vs_Dark","OTU32"
2.47747657282263,0,5.26764854483901,0,1,1,"Blue_vs_Dark","OTU33"
6.70733930998441,1.25453124470089,1.26933182372888,0.988339866100168,0.322986227241791,1,"Blue_vs_Dark","OTU30"
3.59075730505179,0,5.2676485448385,0,1,1,"Blue_vs_Dark","OTU31"
0.0884635179138104,0,5.26764854488364,0,1,1,"Blue_vs_Dark","OTU128"
0.176927035827621,0,5.26764854486037,0,1,1,"Blue_vs_Dark","OTU127"
0.117763474914642,0,5.2676485448718,0,1,1,"Blue_vs_Dark","OTU126"
0.0621593876875538,0,5.26764854489972,0,1,1,"Blue_vs_Dark","OTU125"
0.0392544916382138,0,5.26764854491114,0,1,1,"Blue_vs_Dark","OTU124"
0.166972501190238,0,5.2676485448617,0,1,1,"Blue_vs_Dark","OTU123"
0.622281516761439,-0.574458868452277,3.19822730466751,-0.17961789883224,0.85745255198312,1,"Blue_vs_Dark","OTU122"
0.0850642837368937,0,5.2676485448843,0,1,1,"Blue_vs_Dark","OTU121"
0.0785089832764277,0,5.26764854488906,0,1,1,"Blue_vs_Dark","OTU120"
0.167936037479979,-0.574666500314117,5.26764854487713,-0.109093553872911,0.913128287638733,1,"Blue_vs_Dark","OTU83"
0.493799245112253,-0.574663608157775,3.21181744078757,-0.178921628875912,0.85799923943716,1,"Blue_vs_Dark","OTU82"
0.157017966552855,0,5.26764854486318,0,1,1,"Blue_vs_Dark","OTU81"
0.319013200424402,0,5.26764854485006,0,1,1,"Blue_vs_Dark","OTU80"
0.134400773944646,0,5.26764854488906,0,1,1,"Blue_vs_Dark","OTU87"
8.96195800772388,-1.4391573647078,0.638969210353489,-2.25231097428252,0.0243026271366323,0.510355169869278,"Blue_vs_Dark","OTU86"
0.117763474914642,0,5.2676485448718,0,1,1,"Blue_vs_Dark","OTU85"
3.55927440890983,-0.0424380494089852,0.903603366027598,-0.0469653511756496,0.962540842796748,1,"Blue_vs_Dark","OTU84"
2.38221883734728,0.465513740884691,1.25195673420837,0.37182893638816,0.710020217784624,1,"Blue_vs_Dark","OTU89"
0.0785089832764277,0,5.26764854488906,0,1,1,"Blue_vs_Dark","OTU88"
24.3776393352194,-0.574669929530206,2.21129820300795,-0.259878983643411,0.794957123057102,1,"Blue_vs_Dark","OTU14"
41.5439463191668,-0.0159251838948121,0.475146996470335,-0.0335163307631397,0.973262843082396,1,"Blue_vs_Dark","OTU15"
15.2774054131246,0.387110681163406,1.91664006062901,0.201973593850669,0.839937367799025,1,"Blue_vs_Dark","OTU16"
85.3814318526899,-2.50018777081525,1.58805605620422,-1.57436997330637,0.115401941405314,1,"Blue_vs_Dark","OTU10"
47.2608822978369,0,1.89004539361311,0,1,1,"Blue_vs_Dark","OTU11"
69.183828385111,-0.837595650423677,0.40497612035959,-2.06825935731705,0.0386156413409496,0.669444233162843,"Blue_vs_Dark","OTU12"
24.5258424038762,0,5.26764854483754,0,1,1,"Blue_vs_Dark","OTU13"
16.5367794313159,-0.574610632448263,4.278208857156,-0.134311028664983,0.893156632647857,1,"Blue_vs_Dark","OTU18"
17.1096797298873,1.34890282581527,2.9725234866693,0.453790468557981,0.649979644523109,1,"Blue_vs_Dark","OTU19"
19.8163455507078,0.337480567023922,0.40122920694916,0.841116651477179,0.400282587531614,1,"Blue_vs_Dark","OTU98"
0.979985048855752,1.34889672512252,2.54961528215759,0.529058926875049,0.596764572790297,1,"Blue_vs_Dark","OTU99"
0.0392544916382138,0,5.26764854491114,0,1,1,"Blue_vs_Dark","OTU94"
0.245481484466666,0,5.26764854485389,0,1,1,"Blue_vs_Dark","OTU95"
145.982403637836,0.0904401314256345,0.285194892881494,0.317116938918029,0.751154872316878,1,"Blue_vs_Dark","OTU96"
114.430308485738,0.359494544077814,0.276951159486178,1.29804310891775,0.194272521920952,1,"Blue_vs_Dark","OTU97"
0.513355709809486,1.28202526625897,4.00399196103577,0.320186773283963,0.748826749233019,1,"Blue_vs_Dark","OTU90"
0.335085461713555,-0.574628161575258,5.26764854483171,-0.109086275723358,0.91313406031034,1,"Blue_vs_Dark","OTU91"
0.122740742233333,0,5.26764854487047,0,1,1,"Blue_vs_Dark","OTU92"
0.275421849256876,2.77081324343529,5.20502377891346,0.53233440635956,0.594494406428142,1,"Blue_vs_Dark","OTU93"
0.431799408020352,0,5.26764854484674,0,1,1,"Blue_vs_Dark","OTU61"
0.620668009012008,1.348885424495,3.13658549472188,0.430048990140663,0.667160004805398,1,"Blue_vs_Dark","OTU60"
0.453286510436892,0,5.2676485448463,0,1,1,"Blue_vs_Dark","OTU63"
4.20907606754481,2.31091966676021,1.3504241808764,1.71125465574858,0.0870341130474109,1,"Blue_vs_Dark","OTU62"
