"log2FoldChange","pvalue","degs","id","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3","mean"
-4.2869619425996,0.00104769927985994,"Blue_vs_Dark","OTU38",2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13,16.2222222222222
-1.4391573647078,0.0243026271366323,"Blue_vs_Dark","OTU86",7,14,11,2,5,2,8,7,12,12,11,16,11,9,9,7,20,7,9.44444444444444
-1.48078120218467,8.97969385363818e-08,"Blue_vs_Dark","OTU7",2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535,2132
1.3523486024242,3.66473759917855e-14,"Blue_vs_Dark","OTU3",2575,2524,2185,5350,5922,3164,3301,3974,4288,2267,2812,2286,2109,3333,2688,4661,6227,4028,3538.55555555556
-1.53505780486407,0.042504395756371,"Blue_vs_Dark","OTU48",12,8,9,5,2,1,11,7,7,9,7,7,10,10,5,9,17,1,7.61111111111111
-1.20100192009678,0.000218634431942511,"Blue_vs_Dark","OTU25",120,113,146,34,50,41,150,121,168,123,143,109,73,113,88,152,167,196,117.055555555556
3.40489054721073,0.00765762236990955,"Green_vs_Dark","OTU62",1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1,4.33333333333333
1.64964496675588,0.00485980527024731,"Yellow_vs_Dark","OTU38",2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13,16.2222222222222
2.70061890442513,0.037270924528588,"Yellow_vs_Dark","OTU62",1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1,4.33333333333333
1.52918101186548,0.00970680150597999,"Red_vs_Dark","OTU38",2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13,16.2222222222222
2.98565466501335,0.0213143768928047,"Red_vs_Dark","OTU62",1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1,4.33333333333333
5.9119282344439,0.0432973818066226,"UV_vs_Dark","OTU39",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,31,13,13,3.33333333333333
