"log2FoldChange","pvalue","degs","id","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3","mean","tSNE1","tSNE2"
-2.58770194791721,8.92245878975655e-21,"UV_vs_Dark","OTU7",2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535,2132,25.7301460755778,-7.51747857831455
2.00980022890225,1.19744730656602e-07,"UV_vs_Dark","OTU4",901,906,926,934,820,656,949,915,1052,751,544,649,777,724,678,9919,3369,5145,1700.83333333333,-35.4083265760711,4.87874522818408
-3.35893309716765,6.9141432265377e-44,"UV_vs_Dark","OTU1",30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275,25483.4444444444,35.1136412717026,-9.18057300532832
-4.61640148014073,7.28277927081889e-09,"UV_vs_Dark","OTU47",16,23,13,14,17,5,11,11,19,32,30,25,22,21,20,2,1,1,15.7222222222222,28.4602551512516,-4.99445117791428
-1.63949288993748,0.000696874455563337,"UV_vs_Dark","OTU46",8,20,9,8,7,4,14,16,14,21,24,26,14,25,15,7,8,7,13.7222222222222,22.4016508814378,-6.5744152395683
-1.26931210677083,0.0226596628933802,"UV_vs_Dark","OTU45",11,21,9,4,10,7,10,7,8,11,6,7,8,9,13,4,19,10,9.66666666666667,9.62029380478467,-5.70091136311989
3.86134822421256,0.0412546005096416,"UV_vs_Dark","OTU44",1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,16,6,5,1.83333333333333,-38.6338455816999,1.62705913478896
1.97825336237589,0.00111165766903174,"UV_vs_Dark","OTU42",8,6,6,14,4,3,7,7,12,8,6,6,7,1,7,45,45,50,13.4444444444444,-17.5902243679174,9.11594803665617
-2.35885515142406,0.00177850870580171,"UV_vs_Dark","OTU117",5,22,15,14,9,4,25,14,23,18,22,4,9,18,11,1,13,3,12.7777777777778,28.1336946631375,0.766773919014768
-2.16609434357605,1.74371772924115e-12,"UV_vs_Dark","OTU113",472,366,444,477,376,290,483,472,464,569,561,554,534,409,454,147,141,210,412.388888888889,31.0180477313562,-7.18338536224751
-6.64135423433506,7.10706882683025e-06,"UV_vs_Dark","OTU110",13,11,6,8,9,3,3,7,4,3,11,2,0,6,9,0,0,0,5.27777777777778,40.0803098079895,-7.81932486432036
-3.60417292086541,0.0404755775242566,"UV_vs_Dark","OTU111",1,2,4,0,0,1,2,4,0,3,0,4,1,3,2,0,1,0,1.55555555555556,32.0536883121434,-16.4245763301512
2.25726314226283,0.0199670310159056,"UV_vs_Dark","OTU51",1,0,3,3,0,0,5,5,9,5,5,4,2,5,2,13,9,12,4.61111111111111,-17.8461342506117,-3.70002418383233
2.3769650732498,9.81599272337798e-11,"UV_vs_Dark","OTU53",13,17,16,16,11,13,16,26,15,16,21,15,22,14,19,95,270,113,40.4444444444444,-8.59280212973556,2.99482923629093
-2.51400859082074,0.00539416343913042,"UV_vs_Dark","OTU54",17,10,7,11,13,2,7,3,8,11,10,6,6,3,12,8,3,0,7.61111111111111,40.6716245786326,-4.76564032650301
4.05063233555226,0.00655549115228566,"UV_vs_Dark","OTU57",0,0,1,1,0,0,1,1,1,3,2,1,0,1,1,12,6,12,2.38888888888889,-24.3921763932929,11.2631987893401
2.46456260674687,9.8941867277566e-07,"UV_vs_Dark","OTU21",10,6,7,15,3,12,6,10,17,7,10,9,5,6,6,85,90,60,20.2222222222222,-13.6456607789115,6.00601208078574
