Samples,Group
Dark1,Dark
Dark2,Dark
Dark3,Dark
Blue1,Blue
Blue2,Blue
Blue3,Blue
Green1,Green
Green2,Green
Green3,Green
Yellow1,Yellow
Yellow2,Yellow
Yellow3,Yellow
Red1,Red
Red2,Red
Red3,Red
UV1,UV
UV2,UV
UV3,UV
