"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","G3A","G2A","R3A","D2A","Y1A","Y2A","B2A","R1A","D3A","B1A","Y3A","B3A","D1A","G1A","R2A","mean"
"B3A_k97_12340_3",190.660178868259,1.26110219192626,0.471191616250546,2.67641050569052,0.00744154367945217,0.941184664600334,"Red_vs_Dark",1.310660014,1.463304281,1.684827952,1.667289811,1.53741363,1.437596344,1.626098501,1.455714352,1.65829435,1.306045636,1.401308424,5.240830374,1.622594546,1.226475811,1.321815776,1.73068465346667
"B3A_k97_12359_3",55.6652759461727,1.53624639415905,0.550425278510903,2.79101715370912,0.00525426875798763,0.941184664600334,"Red_vs_Dark",2.123519333,3.179704329,2.536880531,3.79250435,2.199369149,3.64734295,3.30925309,2.494183625,2.795502834,3.492696723,2.380957853,10.85241387,2.16778343,3.146281027,1.498637623,3.3078020478
"B3A_k97_13578_1",166.005646864401,1.27699385749797,0.476802587521428,2.67824439488929,0.00740091953383013,0.941184664600334,"Red_vs_Dark",3.381451737,3.855012962,5.263825763,5.828657797,3.962122793,3.203177631,4.85661419,3.727973125,4.680238947,5.249911253,3.619055937,14.05816471,4.393374419,4.383818231,5.039055476,5.03349699806667
"B3A_k97_14249_6",145.621524342443,1.54097247262736,0.559330757474704,2.75502902716207,0.0058686928628649,0.941184664600334,"Red_vs_Dark",1.999019025,2.170128512,3.024983887,2.20754444,1.771360895,2.3633939,2.631835724,1.931190153,2.362723305,2.493341302,1.707392082,11.20616337,2.499842742,1.628999343,2.064859616,2.80418521973333
"B3A_k97_16811_5",135.139253908273,1.66972220643367,0.512959365218607,3.25507695082649,0.00113361646041405,0.821075901653353,"Red_vs_Dark",0.929096305,1.159337826,0.986624752,1.29058357,1.101873002,1.013634712,1.339711004,1.103397054,1.096069313,1.406462054,0.834066886,4.854280213,0.991275595,1.300105038,0.950425,1.35712948826667
"B3A_k97_18785_16",44.7530738907062,3.16738454477991,1.20753957175532,2.6230068304724,0.00871575251896316,0.941184664600334,"Red_vs_Dark",0.932385589,0.951907283,0.472556177,0.353223444,0.136562137,1.087051232,0.446379981,0.13938085,0.135842849,0.715660407,0.391333903,12.94194777,0.075713024,0.313967119,0.609071975,1.31353224933333
"B3A_k97_18939_6",126.538154783331,1.27200851859187,0.535348517803777,2.37603818127708,0.0174996519174868,0.941184664600334,"Red_vs_Dark",2.016503156,2.679771641,2.32873165,2.226852409,2.314787938,1.777946768,1.972177774,2.362566355,1.898631535,2.012119162,1.443029507,8.812795462,1.440975575,1.942019359,2.309323918,2.50254881393333
"B3A_k97_1900_10",172.033404779137,1.00244938264919,0.451496001793951,2.22028407486692,0.0263994902584382,0.941184664600334,"Red_vs_Dark",3.344915932,2.886307723,4.063761788,4.205327775,2.92287747,3.135519087,3.881310521,3.309495452,4.043217641,4.046947613,2.251003934,9.19988304,3.949985709,3.905956844,3.208111896,3.89030816166667
"B3A_k97_19437_25",153.351765239649,1.48017644078952,0.433369299591609,3.41550830246716,0.000636630886707255,0.750518429707344,"Red_vs_Dark",0.99015656,1.247583512,1.173281938,1.509586229,1.147808574,1.142086996,1.671520247,1.211211797,0.909539967,1.742445907,1.360267903,4.061451667,1.337455769,1.091342691,1.344892169,1.46270879506667
"B3A_k97_20045_18",255.637556369822,1.22064932627027,0.440689546874847,2.76986221916657,0.00560800098151118,0.941184664600334,"Red_vs_Dark",0.994262088,1.219075928,1.583738275,1.501199639,1.404541576,0.970193225,1.441807338,1.17288985,1.212397425,1.249803311,1.450283445,4.060145352,1.145538056,1.313010493,1.164850153,1.4589157436
"B3A_k97_20432_30",87.8724821663615,1.42176554385383,0.436576987084007,3.25662044935101,0.00112747083134018,0.821075901653353,"Red_vs_Dark",1.255489506,1.623583116,1.681685067,1.854947672,1.654970845,1.875432448,1.71733175,1.782970868,2.057817411,1.971125874,1.897000782,5.387990307,1.937054006,1.775623946,1.383980379,1.9904669318
"B3A_k97_20432_9",319.809252839666,1.02504315017222,0.393705336367933,2.6035795187045,0.00922558636697886,0.941184664600334,"Red_vs_Dark",3.43030046,3.878540445,4.432571478,5.397025422,3.693812289,3.871794824,4.608376319,4.057844897,4.010938848,4.943509208,3.425993653,9.836882671,4.439787218,3.682186037,3.521274416,4.482055879
"B3A_k97_20553_6",120.528404081247,1.65613044962645,0.495681453345473,3.3411184510714,0.000834416161102855,0.78941317440274,"Red_vs_Dark",2.52722136,2.439811591,2.118713411,2.993161126,1.875103185,2.878595282,3.352264602,2.788689153,2.398148752,3.318061887,2.210735527,10.64500453,2.673252163,2.463434321,2.2699644,3.130144086
"B3A_k97_21647_1",284.013470149082,1.02515030851196,0.381789864236521,2.68511661660267,0.00725045033718246,0.941184664600334,"Red_vs_Dark",4.02436784,4.536045141,4.96624256,4.607262318,4.168113912,3.68652157,5.123665865,5.272232138,4.42965811,4.107268423,5.104355259,11.77578612,4.463776558,4.652173663,4.6077619,5.03501542513333
"B3A_k97_21770_2",26.7080473065947,1.51898103191819,0.747437115702013,2.03225261364165,0.0421280889786319,0.953035360457336,"Red_vs_Dark",0.640426465,2.109708586,0.816097017,0.960767769,1.238163373,1.539989246,0.963613927,0.631859852,0.923731371,1.474694172,0.354809406,5.385184062,0.800875545,1.423317607,0.690281572,1.33023466466667
"B3A_k97_22051_14",58.0546890021776,2.09623420290949,0.691510307744626,3.03138533067771,0.00243434365010469,0.913232650256703,"Red_vs_Dark",1.017147916,1.047098012,0.911358342,1.218620883,0.768162019,1.070066057,1.10000781,1.202159828,1.375408843,0.927105527,0.587000855,7.36190507,0.908556291,0.800616154,0.513904479,1.38727453906667
"B3A_k97_2213_1",46.4216661802687,1.22196418094339,0.420988996819615,2.90260360763533,0.00370074724142394,0.941184664600334,"Red_vs_Dark",0.853901954,1.278611265,1.13346808,1.423359657,1.261092324,1.425915968,1.498954997,1.228616378,0.91232728,2.239350409,1.31410891,2.414410008,1.271231024,1.054309339,0.639149604,1.3299204798
"B3A_k97_22429_4",141.366656994793,1.28303844665044,0.515392607466405,2.48943897926217,0.0127944879761416,0.941184664600334,"Red_vs_Dark",0.994030918,1.401899817,1.288789575,1.136737266,0.893861259,1.000581248,1.165225664,0.969330454,1.03734539,1.171080666,0.853819425,4.535649678,1.053099337,0.89052492,0.747497424,1.2759648694
"B3A_k97_22866_1",23.0549196709217,-1.77351400320618,0.511883022082804,-3.46468612299333,0.000530850659620989,1,"Green_vs_Dark",1.338033865,1.232946576,1.639480615,1.45830822,1.824079969,1.48498963,0.542032834,0.338496349,0.164952031,0.632011788,1.140458804,0.531432638,0.827435193,0.762491575,1.294277947,1.01409520226667
"B3A_k97_23238_16",162.392566348648,1.58983058809001,0.563817794138471,2.81975951205888,0.00480596525023976,0.941184664600334,"Red_vs_Dark",1.062277345,1.13405837,1.018380451,1.016511974,0.760646441,0.772622591,1.524351723,0.711651027,0.898510037,1.087146557,0.799229378,5.04951694,1.054297402,0.830673416,0.706772941,1.2284431062
"B3A_k97_23413_11",148.877922914414,1.66234699285273,0.496448867638179,3.34847574688051,0.000812573924922536,0.786944554629536,"Red_vs_Dark",0.73580913,1.117984724,1.051401586,1.08221651,0.993707463,1.110179982,1.221100251,0.800698498,0.936448574,1.146164056,1.139031446,4.533472915,0.927887276,1.186394902,0.835854094,1.25455676046667
"B3A_k97_23799_10",91.7964017403929,1.79402377503985,0.563080408544018,3.18608807519824,0.00144210687722551,0.874178565462525,"Red_vs_Dark",0.892768415,1.583063199,1.16011074,1.918924755,1.514058472,1.393522877,1.449348664,1.081716594,1.204867006,1.695096834,1.041288473,6.411850303,0.881398358,1.705660502,1.139527323,1.67154683433333
