"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm"
"g_00005",58.5962973889173,-2.65451816179453,0.0266721511783994,0.069280240110702,0,0,0,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00016",-19.2274993647983,-27.9950032634889,0.103708644513377,0.0174240285486905,0.0217076612907463,0.351116900830695,0.497513063991845,0.0184129537958308,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00028",63.9023476339308,9.38984652257634,0.049461469544698,0,0.0212451333426279,0,0,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00048",7.42693088358897,-39.1448337257739,0.0632815558290277,0.0450529280031538,0,0.61734375951576,0.65505079841071,0.122994288174471,"Yellow_vs_Dark","N","Topology=o246-263i283-305o",0,1
"g_00071",19.5126746016649,-45.2762593594316,0.0250714468748273,0.0244622693510315,0.0543146139419535,0.921067203547079,0.813553502394804,0.268686999806401,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00083",-36.5758512761312,12.4985281474927,0.0285313998722711,0.0547474582398846,0.0221907433938234,0.230787283762127,0.196045130523166,0.0294130002559538,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00096",5.275630021095,-33.9612797687945,0,0,0,0.623289926051854,0.570417069640277,0.033317983858918,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00120",4.72848946957182,-25.8506296995862,0.0445076182756608,0.0119956494445556,0.0760390046157261,0.574903843621234,0.51086618890658,0.0980165741603001,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00121",-18.94407603779,-21.8712312516526,0.0136893762270224,0.0081042821152184,0.0258729456795918,0.387103702913387,0.41316257914002,0.0442829490208768,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00123",3.03083253503573,-49.0509839691988,0.0887868653325527,0.0676465564432488,0.0526935572529801,0.576418180125529,0.720317771296303,0.176357544685334,"Yellow_vs_Dark","N","Topology=i39-61o81-103i116-138o153-170i191-213o228-250i271-293o306-328i",0,1
